"filename", "language", "XML", "Java", "Markdown", "comment", "blank", "total"
"c:\Users\zj\Desktop\编译实验\Compiler\.idea\checkstyle-idea.xml", "XML", 16, 0, 0, 0, 0, 16
"c:\Users\zj\Desktop\编译实验\Compiler\.idea\misc.xml", "XML", 6, 0, 0, 0, 0, 6
"c:\Users\zj\Desktop\编译实验\Compiler\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 8
"c:\Users\zj\Desktop\编译实验\Compiler\.idea\uiDesigner.xml", "XML", 124, 0, 0, 0, 0, 124
"c:\Users\zj\Desktop\编译实验\Compiler\Compiler.iml", "XML", 11, 0, 0, 0, 0, 11
"c:\Users\zj\Desktop\编译实验\Compiler\README.md", "Markdown", 0, 0, 10, 0, 9, 19
"c:\Users\zj\Desktop\编译实验\Compiler\bin\lexical.CategoryCode.class", "Java", 0, 21, 0, 0, 0, 21
"c:\Users\zj\Desktop\编译实验\Compiler\bin\Compiler.class", "Java", 0, 26, 0, 0, 0, 26
"c:\Users\zj\Desktop\编译实验\Compiler\bin\error.ErrorHandler.class", "Java", 0, 9, 0, 0, 0, 9
"c:\Users\zj\Desktop\编译实验\Compiler\bin\lexical.LexicalAnalyser.class", "Java", 0, 52, 0, 0, 0, 52
"c:\Users\zj\Desktop\编译实验\Compiler\bin\lexical.Reader.class", "Java", 0, 22, 0, 0, 0, 22
"c:\Users\zj\Desktop\编译实验\Compiler\bin\lexical.Symbol.class", "Java", 0, 20, 0, 0, 0, 20
"c:\Users\zj\Desktop\编译实验\Compiler\out\production\Compiler\lexical.CategoryCode.class", "Java", 0, 24, 0, 0, 0, 24
"c:\Users\zj\Desktop\编译实验\Compiler\out\production\Compiler\Compiler.class", "Java", 0, 26, 0, 0, 0, 26
"c:\Users\zj\Desktop\编译实验\Compiler\out\production\Compiler\error.ErrorHandler.class", "Java", 0, 8, 0, 0, 0, 8
"c:\Users\zj\Desktop\编译实验\Compiler\out\production\Compiler\lexical.LexicalAnalyser.class", "Java", 0, 81, 0, 0, 0, 81
"c:\Users\zj\Desktop\编译实验\Compiler\out\production\Compiler\lexical.Reader.class", "Java", 0, 26, 0, 0, 0, 26
"c:\Users\zj\Desktop\编译实验\Compiler\out\production\Compiler\lexical.Symbol.class", "Java", 0, 14, 0, 0, 0, 14
"c:\Users\zj\Desktop\编译实验\Compiler\src\lexical.CategoryCode.java", "Java", 0, 40, 0, 0, 1, 41
"c:\Users\zj\Desktop\编译实验\Compiler\src\Compiler.java", "Java", 0, 13, 0, 1, 2, 16
"c:\Users\zj\Desktop\编译实验\Compiler\src\error.ErrorHandler.java", "Java", 0, 5, 0, 0, 1, 6
"c:\Users\zj\Desktop\编译实验\Compiler\src\lexical.LexicalAnalyser.java", "Java", 0, 202, 0, 6, 8, 216
"c:\Users\zj\Desktop\编译实验\Compiler\src\lexical.Reader.java", "Java", 0, 39, 0, 0, 6, 45
"c:\Users\zj\Desktop\编译实验\Compiler\src\lexical.Symbol.java", "Java", 0, 6, 0, 0, 1, 7
"Total", "-", 165, 634, 10, 7, 28, 844
